Problem set: strings

Tree size 8
Tree size 6
Tree size 8
Tree size 3
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 3
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 8
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Tree size 8
Tree size 6
Tree size 6
Tree size 6
Tree size 6
Total time (ms) -67
